Termo_Corrigido,NLD,Rótulo_Original
Cretaceous,"The Cretaceous is a chronostratigraphic system that comprises all strata formed during the Cretaceous Period, spanning from the end of the Jurassic Period, approximately 145 million years ago, to the beginning of the Paleogene Period, approximately 66 million years ago. It is the youngest system of the Mesozoic Erathem and its upper boundary is marked by the Cretaceous-Paleogene extinction event.",UNIDADE_CRONO
Paleogene,"The Paleogene is a geologic period that constitutes the initial part of the Cenozoic Era, spanning the time interval from approximately 66 to 23.03 million years ago. It succeeds the Cretaceous Period and is subdivided into the Paleocene, Eocene, and Oligocene epochs. This period is notable for the evolutionary radiation of mammals following the mass extinction event at the end of the Mesozoic Era.",UNIDADE_CRONO
formação camboriú,"A Camboriú Formation is a lithostratigraphic unit of formation rank that is constituted by a succession of predominantly basic volcanic and volcaniclastic rocks interbedded with continental siliciclastic deposits. As the basal unit of the Guaratiba Group, it represents the initial rift stage of the Santos Basin during the Neocomian. This unit typically forms the economic basement for the overlying pre-salt carbonate reservoirs.",UNIDADE_LITO
ghost,"A ghost is a relict textural feature that preserves the faint outline or internal structure of a pre-existing sedimentary particle, such as a grain or fossil, whose original mineralogy has been altered or replaced during diagenesis.",ESTRUTURA_FISICA
tuffs,"A tuff is a pyroclastic rock that is formed by the consolidation of material ejected during an explosive volcanic eruption. It is predominantly composed of volcanic ash, which consists of fragments of volcanic glass, crystals, and rock smaller than 2 millimeters in diameter. Tuffs are classified based on the nature of their constituent fragments, such as vitric, crystal, or lithic.",ROCHA
oil,Oil is a complex mixture of hydrocarbons and non-hydrocarbon organic compounds that is generated from the thermal maturation of organic matter and exists predominantly in a liquid phase under reservoir and surface conditions.,FLUIDODATERRA
Neocomian,"The Neocomian is a chronostratigraphic unit of the Lower Cretaceous Series that comprises the rock successions deposited during the Berriasian, Valanginian, Hauterivian, and Barremian ages, from approximately 145 to 125 million years ago. This unit corresponds to the main rift phase of the South Atlantic opening and is particularly significant in the Brazilian Pre-Salt province. It encompasses the deposition of the primary source rocks and the initial carbonate reservoir successions.",UNIDADE_CRONO
slip,A slip is a relative displacement vector that describes the magnitude and direction of movement between two rock blocks along a fault plane.,ESTRUTURA_FISICA
sylvite,"Sylvite is a halide mineral of the evaporite group that is chemically composed of potassium chloride (KCl). It typically forms in thick sedimentary beds resulting from the evaporation of saline waters and is a primary ore of potassium. Sylvite crystallizes in the isometric system, often in association with halite and carnallite.",MINERAIS
Neogene,"The Neogene is a geologic period of the Cenozoic Era that follows the Paleogene and precedes the Quaternary, spanning from approximately 23.03 to 2.58 million years ago. It is the second of the three periods of the Cenozoic Era and is formally subdivided into the Miocene and Pliocene epochs. The corresponding chronostratigraphic unit is the Neogene System.",UNIDADE_CRONO
material,"A material is an aggregate of sedimentary particles, such as mineral grains or biogenic fragments, that is not cemented or lithified into a solid rock. It is characterized by being a loose deposit that lacks significant cohesive strength.",NAO_CONSOLID
Berriasian,The Berriasian is a geologic age and its corresponding chronostratigraphic stage that is the earliest subdivision of the Early Cretaceous Epoch. It follows the Tithonian Stage of the Late Jurassic and precedes the Valanginian Stage. This interval spans the time from approximately 145.0 to 139.8 million years ago.,UNIDADE_CRONO
oceanic,"An oceanic paleoenvironment is a deep marine depositional environment that is located seaward of the continental margin, typically in bathyal to abyssal water depths. It is characterized by low-energy conditions dominated by the accumulation of fine-grained pelagic and hemipelagic sediments, such as biogenic oozes and distal turbidites, with minimal direct terrigenous input.",PALEOAMBIENTE
brittle,"Brittle is a mechanical property of a material that describes its tendency to fail by fracturing and losing cohesion when subjected to stress, exhibiting little to no permanent ductile strain before rupture.",ESTRUTURA_FISICA
Tertiary,"The Tertiary is an informal geochronologic unit of the Cenozoic Era that encompasses the Paleogene and Neogene periods. It represents the interval of geologic time between the end of the Cretaceous Period, approximately 66 million years ago, and the beginning of the Quaternary Period, 2.58 million years ago. The corresponding, and also informal, chronostratigraphic unit is the Tertiary System.",UNIDADE_CRONO
collapse,"A collapse is a geological structure that is formed by the gravitational subsidence of overlying rock or sediment into a void created by the removal of underlying support. This removal of support is typically caused by processes such as the dissolution of soluble rocks like carbonates and evaporites, magma withdrawal from a chamber, or tectonic extension. The resulting feature is often characterized by a surface depression and internal brecciation.",ESTRUTURA_FISICA
volcanic,"A volcanic rock is an igneous rock that forms from the rapid cooling and solidification of magma at or near the Earth's surface. This process typically results in a fine-grained (aphanitic) to glassy texture due to the limited time for crystal growth. Volcanic rocks include lavas, which are effusive, and pyroclastic materials, which are explosive in origin.",ROCHA
discordance,"A discordance is a stratigraphic surface that separates younger strata from older rocks and represents a significant hiatus in the geologic record, resulting from a period of erosion or non-deposition. This physical structure indicates a major geological event and is a key element in sequence stratigraphy and basin analysis. The angular relationship between the layers above and below the surface is used to classify it into different types, such as angular unconformity, disconformity, or nonconformity.",ESTRUTURA_FISICA
Eoproterozoic,The Eoproterozoic is a geologic era that constitutes the earliest subdivision of the Proterozoic Eon. It spans the interval of geologic time from 2500 to 1600 million years ago (Ma). This era is preceded by the Archean Eon and is succeeded by the Mesoproterozoic Era.,UNIDADE_CRONO
Santos Espírito Santo,"The Santos Espírito Santo is a composite sedimentary basin province that encompasses the contiguous Santos and Espírito Santo basins along the southeastern Brazilian continental margin. This province is characterized by a shared tectonic evolution related to the opening of the South Atlantic Ocean. It hosts the world's most significant pre-salt petroleum system, containing giant and supergiant carbonate reservoirs of the Aptian sag phase.",BACIA
playa lake,"A playa lake paleoenvironment is a continental depositional system that develops within an endorheic basin under arid to semi-arid climatic conditions. It is characterized by a shallow, ephemeral lake where high evaporation rates drive the precipitation of evaporites and authigenic carbonates. These chemical sediments are typically interbedded with fine-grained siliciclastics deposited during periods of lacustrine expansion.",PALEOAMBIENTE
celestine,"Celestine is a sulfate mineral that is composed of strontium sulfate (SrSO₄) and serves as the primary natural source of strontium. It commonly occurs in sedimentary rocks, particularly as a diagenetic phase in carbonate successions or in association with evaporite deposits. This mineral crystallizes in the orthorhombic system and is a member of the barite group.",MINERAIS
silcretes,"Silcretes are a type of duricrust that is formed by the intense cementation of surficial sediments, soils, or weathered bedrock by silica. This silica, typically in the form of microcrystalline quartz, chalcedony, or opal, precipitates from solution within terrestrial weathering profiles. The resulting rock is exceptionally hard and resistant to erosion.",ROCHA
pão de açúcar,"Pão de Açúcar is an offshore hydrocarbon field that is located in the pre-salt section of the Santos Basin and contains significant accumulations of gas, condensate, and light oil. Its main reservoirs are composed of high-quality, Aptian-age lacustrine microbial carbonate rocks. The field represents one of the most important discoveries in the Brazilian pre-salt province.",CAMPO
Cenomanian,"The Cenomanian is a chronostratigraphic stage of the Upper Cretaceous Series that is the lowermost of its six stages, overlying the Albian Stage and underlying the Turonian Stage. It corresponds to the geochronologic Cenomanian Age, which spans the time from approximately 100.5 to 93.9 million years ago. This stage is globally recognized for a major marine transgression and the deposition of organic-rich source rocks.",UNIDADE_CRONO
Maastrichtian,The Maastrichtian is the final geologic age of the Late Cretaceous Epoch and the uppermost stage of the Upper Cretaceous Series. It follows the Campanian Age and is terminated by the Cretaceous–Paleogene boundary at approximately 66.0 million years ago. The end of this age is marked by the mass extinction event that eliminated the non-avian dinosaurs.,UNIDADE_CRONO
Danian,The Danian is the lowest chronostratigraphic stage of the Paleocene Series that comprises all rocks deposited during the earliest age of the Paleocene Epoch. Its base is defined by the iridium-rich layer associated with the Cretaceous-Paleogene (K-Pg) extinction event. This unit spans the time interval from approximately 66.0 to 61.6 million years ago.,UNIDADE_CRONO
bindstone,"A bindstone is an autochthonous carbonate rock supported by original components that were bound together *in situ* by the action of encrusting organisms. This fabric is distinguished from a framestone by the lack of a rigid, three-dimensional framework, instead being characterized by the layering or encrusting nature of the binding agents such as microbial mats or algae.",ROCHA
sparstone,A sparstone is a grain-supported carbonate rock that is cemented by sparry calcite and is largely free of a primary micrite matrix. This texture is indicative of deposition in a high-energy environment where finer mud was washed away prior to cementation. It is the general term for any sparite-cemented limestone in the Folk classification and is broadly equivalent to a grainstone in the Dunham classification.,ROCHA
Kwanza Congo,"The Kwanza-Congo Basin is a composite sedimentary basin located on the West African passive margin, representing the geological conjugate to Brazil's Santos and Campos basins. Its stratigraphy is defined by a prominent Aptian salt layer that divides the sedimentary fill into pre-salt, salt, and post-salt megasequences. The basin is a prolific hydrocarbon province, with significant accumulations in both pre-salt carbonate and post-salt siliciclastic reservoirs.",BACIA
graben,"A graben is a sedimentary basin formed within an elongated, down-dropped block of crust that is bounded by two or more high-angle normal faults resulting from tectonic extension.",BACIA
pelotas basins,"The Pelotas Basin is a passive margin sedimentary basin that constitutes the southernmost segment of the Brazilian continental margin, formed during the Early Cretaceous opening of the South Atlantic Ocean. It is bounded by the Florianópolis High to the north and the Polonio High to the south and is characterized by a thick Cenozoic prograding sedimentary wedge. As a frontier petroleum province, its main exploration targets are located in deepwater domains.",BACIA
packstones grainstones,"Packstones grainstones is a grain-supported carbonate rock that is defined by a variable composition of its interstitial material, which ranges from carbonate mud to sparry calcite cement. This term is typically applied to describe rock intervals with significant heterogeneity or those that are texturally transitional between the two distinct Dunham classifications. These rocks often represent deposition in high-energy environments with fluctuating conditions that control the preservation or winnowing of mud.",ROCHA
wackestones packstones,"Wackestones and packstones are a group of carbonate rocks that are composed of both grains and carbonate mud, where the grains constitute more than 10% of the rock volume. They are differentiated based on the rock's supporting fabric, being matrix-supported in wackestones and grain-supported in packstones.",ROCHA
Campos Basin,"The Campos Basin is an offshore sedimentary basin located on the southeastern Brazilian continental margin, formed during the Early Cretaceous rifting of the South Atlantic Ocean. It represents one of Brazil's most important petroleum provinces, hosting giant oil fields in post-salt turbiditic sandstones and pre-salt lacustrine carbonates. Its tectono-stratigraphic evolution is characterized by rift, post-rift, and drift phases, with a prominent Aptian evaporite sequence separating the pre-salt and post-salt successions.",BACIA
Kwanza Basin,The Kwanza Basin is an Atlantic-type passive margin sedimentary basin that is located on the continental margin of Angola. It formed during the Early Cretaceous rifting of the South Atlantic Ocean and represents the African conjugate margin to the prolific Santos and Campos basins of Brazil. The basin is characterized by a thick Aptian salt layer overlying a proven pre-salt petroleum system with lacustrine carbonate reservoirs.,BACIA
Aratu,"Aratu is a local stage of the Lower Cretaceous in the Brazilian chronostratigraphic framework that constitutes the upper part of the Rio da Serra Superstage. It is positioned above the Buracica Stage and below the Jiquiá Stage, being broadly correlative to the Barremian Stage of the international geologic time scale.",UNIDADE_CRONO
Cyprideis,"Cyprideis is a genus of ostracod microfossil that serves as a key paleoenvironmental and biostratigraphic indicator in lacustrine to marginal marine deposits. Its valve morphology and geochemistry are widely used as proxies for paleosalinity, making it a fundamental tool for characterizing the Aptian carbonate successions of the Brazilian Pre-Salt.",FOSSEIS
flint,"Flint is a variety of chert that is a hard, dense sedimentary rock composed of cryptocrystalline quartz. It typically occurs as dark-colored nodules or masses within chalk or marly limestone and is characterized by a prominent conchoidal fracture.",ROCHA
chalks,"Chalk is a soft, porous, and very fine-grained limestone that is composed predominantly of the microscopic calcite skeletal remains of pelagic microorganisms, primarily coccolithophores.",ROCHA
travertine carbonates,"Travertine carbonates are a type of non-marine carbonate rock that is formed by the rapid, often biotically-mediated, precipitation of calcium carbonate from supersaturated alkaline waters. This deposition typically occurs in terrestrial settings such as hot springs or in shallow, alkaline lacustrine systems, like those of the Brazilian Pre-Salt. The resulting rock is characteristically porous and crystalline, often exhibiting fibrous, laminated, or shrub-like (dendritic) fabrics.",ROCHA
ESP,The Espírito Santo Basin is a sedimentary basin on the southeastern Brazilian passive margin that was formed during the Early Cretaceous opening of the South Atlantic Ocean. This basin is a prolific hydrocarbon province characterized by significant accumulations in pre-salt lacustrine carbonates and post-salt deepwater siliciclastic reservoirs.,BACIA
Espirito Santo,The Espírito Santo Basin is a passive margin sedimentary basin located on the eastern Brazilian continental margin that was formed during the Early Cretaceous opening of the South Atlantic. This prolific hydrocarbon province is characterized by significant petroleum systems within post-salt deep-water siliciclastics and the highly productive pre-salt sag sequence. Its pre-salt section is renowned for its lacustrine source rocks and microbial carbonate reservoirs.,BACIA
pluvial,"A pluvial paleoenvironment is a terrestrial paleoenvironment that is characterized by a climatic interval of increased effective moisture, resulting in the formation or expansion of lacustrine and fluvial systems, particularly in regions that are otherwise arid or semi-arid.",PALEOAMBIENTE
sphalerite,"Sphalerite is a sulfide mineral with the chemical formula (Zn,Fe)S that constitutes the most important ore of zinc. As a rock constituent, it is characteristic of hydrothermal ore deposits, including veins, skarns, and carbonate-hosted systems, where it is often associated with galena.",ROCHA
Silurian,"The Silurian is a geologic period of the Paleozoic Era that extends from the end of the Ordovician Period, about 443.8 million years ago, to the beginning of the Devonian Period, about 419.2 million years ago. This period is marked by the stabilization of Earth's climate following a major glaciation and the first widespread colonization of land by vascular plants. The chronostratigraphic unit corresponding to this period is the Silurian System.",UNIDADE_CRONO
moldic,"Moldic porosity is a type of fabric-selective secondary porosity that is created by the complete dissolution of a primary depositional component, such as a bioclast or ooid. The resulting pore space preserves the external shape of the dissolved grain. This type of porosity is common in carbonate rocks and contributes significantly to reservoir quality.",ESTRUTURA_FISICA
Devonian,"The Devonian is a chronostratigraphic system of the Paleozoic Erathem that overlies the Silurian System and is overlain by the Carboniferous System. It comprises all rock strata deposited during the Devonian Period, an interval of geologic time extending from approximately 419.2 to 358.9 million years ago. This system is characterized by the first significant adaptive radiation of life on dry land and the beginning of the ""Age of Fishes"".",UNIDADE_CRONO
Ordovician,The Ordovician is the second geologic period of the Paleozoic Era that follows the Cambrian Period and precedes the Silurian Period. It spans the time between approximately 485.4 and 443.8 million years ago. This period is marked by a major adaptive radiation of marine life and concludes with a significant mass extinction event.,UNIDADE_CRONO
Permian,"The Permian is the final geologic period of the Paleozoic Era that extends from 298.9 to 251.9 million years ago, following the Carboniferous and preceding the Triassic. This period is marked by the assembly of the supercontinent Pangea and concludes with the most severe mass extinction event in Earth's history. The corresponding chronostratigraphic unit, comprising all rocks formed during this time, is the Permian System.",UNIDADE_CRONO
Santonian-Campanian,"The Santonian-Campanian is a geochronologic unit that represents the interval of geologic time spanning the Santonian and Campanian Ages of the Late Cretaceous Epoch. This unit succeeds the Coniacian Age and precedes the Maastrichtian Age, corresponding approximately to the time between 86.3 and 72.1 million years ago. The corresponding chronostratigraphic unit, which encompasses all rocks formed during this time, is referred to as the Santonian-Campanian Stage.",UNIDADE_CRONO
bitumen,"Bitumen is a hydrocarbon substance that is generated from the thermal maturation of kerogen in source rocks. It represents the fraction of organic matter soluble in organic solvents, distinguishing it from insoluble kerogen. This material can migrate to form oil and gas accumulations or remain as a solid residue plugging rock porosity.",MINERAIS
breccia,"A breccia is a clastic rock that is composed of large, angular fragments of minerals or pre-existing rocks cemented together in a finer-grained matrix.",MINERAIS
Camboriú,"Camboriú is a lithostratigraphic formation of the Guaratiba Group that is composed predominantly of basic volcanic and volcaniclastic rocks deposited during the Early Cretaceous rift phase of the Santos Basin. This unit typically constitutes the base of the pre-salt succession, overlying the crystalline basement and underlying the Piçarras Formation.",UNIDADE_LITO
fissure,A fissure is an extensive fracture in a rock body that is characterized by the separation of its walls with negligible shear displacement. This tensional opening typically forms a channel that can act as a primary conduit for the circulation of fluids.,ESTRUTURA_FISICA
fissure ridge,"A fissure ridge is a linear volcanic landform that is formed by the accumulation of spatter, scoria, or lava erupted from an underlying linear volcanic fissure. This structure commonly marks the surface expression of a feeder dike and typically consists of two low, parallel ridges flanking the central vent.",ESTRUTURA_FISICA
Aptian Barra Velha,The Aptian Barra Velha is a local chronostratigraphic interval that corresponds to the time during the Aptian age when the unique lacustrine carbonate successions of the Barra Velha Formation were deposited. This interval represents a key period of reservoir development within the sag phase of the Santos and Campos basins.,UNIDADE_CRONO
pre alagoas,"The Pre-Alagoas is an informal chronostratigraphic unit that comprises the geological time interval preceding the Alagoas Stage, broadly equivalent to the Neocomian-Barremian ages. This unit represents the syn-rift tectono-stratigraphic phase responsible for the formation of the Brazilian marginal basins. It is characterized by the deposition of continental clastic successions and the lacustrine carbonate reservoirs of the Pre-Salt section.",UNIDADE_CRONO
truncations,"A truncation is a physical geologic structure that represents the termination of pre-existing strata, seismic reflectors, or other rock bodies against a younger surface, such as an unconformity or a fault.",ESTRUTURA_FISICA
Campos Santos,"Campos Santos is a geological province on the southeastern Brazilian passive margin that comprises the contiguous Campos and Santos sedimentary basins. This province is Brazil's most prolific hydrocarbon-producing region, hosting the world-class Pre-Salt petroleum system. The Pre-Salt system is characterized by extensive microbial and lacustrine carbonate reservoirs deposited in a sag phase during the Early Cretaceous.",BACIA
Aptian Alagoas,The Aptian Alagoas is a local chronostratigraphic superstage of the Brazilian stratigraphic chart that comprises all rocks formed during the Aptian Age of the Early Cretaceous. This unit encompasses the transition from the rift to the sag phase in Brazilian marginal basins. It is particularly significant as it contains the main source rocks and the microbial carbonate reservoirs of the Pre-Salt succession.,UNIDADE_CRONO
Tithonian,"The Tithonian is the final chronostratigraphic stage of the Upper Jurassic Series that follows the Kimmeridgian Stage and precedes the Berriasian Stage of the Lower Cretaceous. It is the rock-record equivalent of the Tithonian Age, the final age of the Late Jurassic Epoch. This unit spans the time interval from approximately 152.1 to 145.0 million years ago.",UNIDADE_CRONO
Jiquiá Alagoas,"Jiquiá Alagoas is a local chronostratigraphic stage of the Brazilian geological time scale that constitutes the basal portion of the Alagoas Supersequence of the Lower Cretaceous. It succeeds the Aratu Stage and is succeeded by the Buracica Stage. This stage represents a key time interval of the rift phase in Brazilian marginal basins, often characterized by the deposition of lacustrine facies.",UNIDADE_CRONO
Paraná Basin,"The Paraná Basin is a large intracratonic sedimentary basin located in central-eastern South America that contains a thick sequence of Paleozoic and Mesozoic rocks. Its geological evolution is marked by extensive Paleozoic glaciation and significant Mesozoic magmatism associated with the opening of the South Atlantic Ocean. The basin covers parts of Brazil, Paraguay, Argentina, and Uruguay, overlying the Rio de la Plata Craton.",BACIA
shrubs,"Shrubs are a type of microbial carbonate rock that is characterized by a macroscopic, branching, bush-like morphology formed by the in-situ calcification of microbial colonies.",ROCHA
grainstones,"A grainstone is a grain-supported carbonate rock that is distinguished by the absence of carbonate mud (micrite) in the interstitial spaces, which are typically filled with sparry calcite cement. This texture is indicative of deposition in a high-energy aqueous environment capable of winnowing away fine-grained sediment.",ROCHA
crinkly,"A crinkly structure is a type of microbial lamination that is characterized by a fine, irregular, and wrinkled fabric. This texture is common in carbonate rocks of the Brazilian Pre-Salt and results from the growth and binding activity of microbial mats.",ESTRUTURA_FISICA
cleavage,"Cleavage is a secondary planar fabric that is induced by tectonic stress in low-grade metamorphic rocks, imparting a fissility that allows the rock to be split into thin sheets.",ESTRUTURA_FISICA
Barremian,"The Barremian is a chronostratigraphic stage of the Lower Cretaceous Series that succeeds the Hauterivian Stage and precedes the Aptian Stage. It encompasses all rock strata deposited during the Barremian Age, from approximately 129.4 to 125.0 million years ago. This unit is fundamental to the stratigraphy of the South Atlantic rift system, corresponding to the deposition of major pre-salt lacustrine source rocks and carbonate reservoirs.",UNIDADE_CRONO
Santos Basin,"The Santos Basin is a large offshore sedimentary basin that is located on the southeastern Brazilian passive margin, formed during the Early Cretaceous rifting of the South Atlantic Ocean. It is globally renowned for hosting one of the world's most significant petroleum systems, the Pre-Salt, which comprises giant accumulations of light oil and gas in lacustrine carbonate reservoirs sealed by a thick Aptian salt layer. The basin is Brazil's most prolific hydrocarbon province, extending from the Cabo Frio High in the north to the Florianópolis High in the south.",BACIA
Campo de Búzios,"The Búzios Field is a super-giant deepwater oil and gas field that is located in the Pre-Salt province of the Santos Basin, offshore Brazil. It is a world-class asset within the Transfer of Rights area, characterized by highly productive microbial carbonate reservoirs of the Barra Velha Formation.",CAMPO
gneisses,"Gneisses are a high-grade metamorphic rock that is characterized by a distinct foliation known as gneissic banding. This banding is defined by the segregation of felsic minerals, such as feldspar and quartz, into light-colored layers, and mafic minerals, like biotite and hornblende, into dark-colored layers. They typically form from the metamorphism of igneous or sedimentary protoliths under conditions of intense heat and pressure.",ROCHA
Cenozoic,"The Cenozoic is a geochronologic era that represents the current and most recent division of the Phanerozoic Eon, extending from the end of the Mesozoic Era approximately 66 million years ago to the present day. It is characterized by the diversification and dominance of mammals, birds, and flowering plants following the Cretaceous-Paleogene mass extinction. The corresponding chronostratigraphic unit is the Cenozoic Erathem.",UNIDADE_CRONO
Iracema,Iracema is an ultra-deepwater oil and gas field that is located in the Santos Basin and produces from carbonate reservoirs of the Brazilian Pre-Salt. The field constitutes the northwestern accumulation within the larger Mero field development area.,CAMPO
Bacia de Pelotas,"A Bacia de Pelotas é uma bacia sedimentar de margem passiva que se localiza na porção meridional da margem continental brasileira, estendendo-se do Alto de Florianópolis, em Santa Catarina, até o Uruguai. Sua gênese está associada à fragmentação do supercontinente Gondwana e à abertura do Oceano Atlântico Sul no Cretáceo Inferior. A bacia é preenchida por uma espessa seção sedimentar clástica progradante, que recobre um embasamento composto por rochas vulcânicas da Província Magmática Paraná-Etendeka.",BACIA
metamorphic,"A metamorphic rock is a rock that originates from the transformation of a pre-existing rock type, the protolith, in response to changes in temperature, pressure, and chemically active fluids. This process, known as metamorphism, causes profound changes in the mineralogy and texture of the protolith while it remains in a solid state.",ROCHA
bacia,"A basin is a large-scale geological depression that undergoes long-term subsidence, allowing for the accumulation and preservation of a thick sequence of sediments.",BACIA
bacias de campos,"The Campos Basin is a prolific offshore petroleum basin on the southeastern Brazilian continental margin that contains significant post-salt and pre-salt hydrocarbon accumulations. Formed during the Early Cretaceous rifting of the South Atlantic, it has historically been Brazil's main oil-producing region. Its primary reservoirs consist of Tertiary deep-water turbidite sandstones and the Aptian pre-salt microbial and coquina carbonates.",BACIA
shearing,"Shearing is a deformation that results from shear stress acting parallel to a surface, causing contiguous parts of a rock body to slip past one another. This process produces a change in the shape of the rock body, often without changing its volume, and is the primary mechanism for the formation of structures such as faults and ductile shear zones.",ESTRUTURA_FISICA
zone,"A zone is a three-dimensional body of rock that possesses a specific set of attributes, such as lithology, fossil content, or petrophysical properties, which differentiate it from adjacent rock units.",ESTRUTURA_FISICA
oceanic,"An oceanic paleoenvironment is a depositional paleoenvironment that corresponds to deep marine settings located seaward of the continental shelf break. It is characterized by low-energy conditions, typically below both the photic zone and the storm wave base. Sedimentation in this environment is dominated by the slow accumulation of fine-grained pelagic and hemipelagic particles with minimal direct terrigenous input.",PALEOAMBIENTE
Formação Camboriú,"The Camboriú Formation is an Aptian lithostratigraphic unit of formational rank that constitutes the basal succession of the Santos Basin's rift sequence. It is characterized by a predominance of volcanic and volcaniclastic rocks, such as basalts and breccias, interlayered with continental siliciclastic deposits. This unit represents the initial magmatic stage associated with the continental rifting that preceded the opening of the South Atlantic Ocean.",UNIDADE_LITO
Neocomian,"The Neocomian is an informal chronostratigraphic unit of the Lower Cretaceous that encompasses the Berriasian, Valanginian, Hauterivian, and Barremian stages. This unit corresponds to the main rift phase of the South Atlantic, during which the key pre-salt source rocks and carbonate reservoirs were deposited in the Brazilian marginal basins.",UNIDADE_CRONO
Barremian,"The Barremian is a geologic age of the Early Cretaceous Epoch that follows the Hauterivian Age and precedes the Aptian Age. It corresponds to the Barremian Stage of the Lower Cretaceous Series, spanning the time interval from approximately 126.3 to 121.4 million years ago. In the context of Brazilian geology, this age is critical as it encompasses the deposition of the main lacustrine source rocks and carbonate reservoirs of the Pre-Salt succession.",UNIDADE_CRONO
Neo-Barremian,"The Neo-Barremian is a geochronological sub-age that comprises the final part of the Barremian Age of the Early Cretaceous Epoch. This interval is particularly significant in the context of Brazilian marginal basins, as it corresponds to the main depositional phase of the microbial carbonate reservoirs of the Pre-Salt. It is chronostratigraphically equivalent to the Upper Barremian Substage.",UNIDADE_CRONO
laminites,"Laminites are a fine-grained sedimentary rock that is characterized by a sequence of parallel, millimeter- to sub-millimeter-scale layers, known as laminae. These layers are distinguished by variations in composition, such as grain size, mineralogy, or organic matter content, which typically reflect cyclical changes in depositional conditions. In carbonate systems, particularly lacustrine settings like the Brazilian Pre-Salt, laminites are frequently of microbial origin and can form significant reservoir intervals.",ROCHA
transitional,"A transitional paleoenvironment is a depositional environment that is situated at the interface between continental and marine realms, subject to the combined influence of both terrestrial and marine processes. It encompasses depositional systems such as deltas, estuaries, lagoons, and tidal flats.",PALEOAMBIENTE
marinho raso,"Um paleoambiente marinho raso é um ambiente deposicional localizado na plataforma continental que é caracterizado por águas rasas, geralmente dentro da zona fótica e acima do nível de base de onda de bom tempo. Este ambiente é dominado por processos de alta energia, como a ação de ondas e marés, controlando a deposição de sedimentos siliciclásticos e carbonáticos. A interação desses processos resulta em um registro estratigráfico complexo, frequentemente associado a importantes reservatórios de hidrocarbonetos.",PALEOAMBIENTE
limestone,"Limestone is a carbonate sedimentary rock that is composed of more than 50 percent calcium carbonate (CaCO₃) in the form of the minerals calcite or aragonite. It commonly forms in marine environments from the accumulation of skeletal fragments, direct chemical precipitation, or microbial activity. Limestones are a major component of the Brazilian Pre-Salt succession, where they constitute world-class hydrocarbon reservoirs.",ROCHA
formações Itapema,"The Itapema Formation is an Aptian lithostratigraphic unit of the Guaratiba Group that is characterized by lacustrine carbonate deposits, primarily composed of coquinas and microbialites. This unit constitutes one of the main hydrocarbon reservoirs of the Pre-Salt succession in the Santos Basin. It is stratigraphically positioned above the Piçarras Formation and below the Barra Velha Formation.",UNIDADE_LITO
formações piçarras,"Formações Piçarras is a lithostratigraphic succession that is predominantly composed of fine-grained siliciclastic rocks, such as shales and siltstones, deposited during the Albian-Cenomanian marine transgression. This post-rift unit occurs in several Brazilian marginal basins, notably Santos and Campos. It functions as the primary regional seal for the underlying Aptian salt and the pre-salt reservoirs.",UNIDADE_LITO
lacustrine,"A lacustrine paleoenvironment is a continental depositional system that encompasses the area of an inland body of standing water, such as a lake. Sedimentation is controlled by factors including climate, tectonic activity, and water chemistry, which can range from freshwater to hypersaline. Its deposits may include marginal siliciclastics and central, chemically or biogenically precipitated facies, such as the carbonates and evaporites characteristic of rift settings.",PALEOAMBIENTE
foraminíferos miliolídeos,"Foraminíferos miliolídeos são uma subordem de foraminíferos bentônicos que possuem uma testa imperfurada de calcita magnesiana com aparência de porcelana. Eles são caracterizados por um arranjo de câmaras tipicamente miliolino, no qual as câmaras são adicionadas em diferentes planos de enrolamento. Como fósseis, são importantes indicadores paleoambientais de plataformas carbonáticas marinhas rasas, quentes e de salinidade restrita.",FOSSEIS
gypsum,"Gypsum is a hydrous sulfate mineral that is chemically composed of calcium sulfate dihydrate (CaSO₄·2H₂O) and typically forms as an evaporite from the precipitation of hypersaline brines. It is characterized by a very low hardness of 2 on the Mohs scale, a monoclinic crystal system, and perfect cleavage in one direction.",MINERAIS
Neoaptian,"The Neoaptian is a chronostratigraphic substage that comprises the upper part of the Aptian Stage of the Lower Cretaceous Series. It follows the Eoaptian Substage and precedes the Albian Stage. This interval is particularly significant in the South Atlantic marginal basins, as it encompasses the deposition of the main sag-phase carbonate reservoirs of the Brazilian Pre-Salt.",UNIDADE_CRONO
Tachyhydrite,"Tachyhydrite is a monomineralic evaporite rock that is composed predominantly of the highly soluble and deliquescent mineral tachyhydrite (CaMg₂Cl₆·12H₂O). This rock is a significant component of the Aptian salt section in Brazilian Pre-Salt basins, where it is often interbedded with halite and carnallite. Its distinct physical properties present significant challenges for both drilling operations and seismic imaging.",ROCHA
marls,"Marls are a type of mixed sedimentary rock that consists of a consolidated mixture of carbonate minerals, primarily calcite, and siliciclastic mud in roughly equal proportions, forming an intermediate lithology between a mudstone and a limestone.",ROCHA
Cenomanian,"The Cenomanian is the earliest geologic age of the Late Cretaceous Epoch that is preceded by the Albian Age and followed by the Turonian Age. This time interval spans from approximately 100.5 to 93.9 million years ago. The corresponding chronostratigraphic unit, representing the rock record from this age, is known as the Cenomanian Stage.",UNIDADE_CRONO
